,Year,Rating,Runtime(Mins),Total_Gross,Title
1,2008,9.0,152,534.86,The Dark Knight
2,2003,9.0,201,377.85,The Lord of the Rings: The Return of the King
3,2010,8.8,148,292.58,Inception
4,2002,8.8,179,342.55,The Lord of the Rings: The Two Towers
5,2001,8.8,178,315.54,The Lord of the Rings: The Fellowship of the Ring
6,1999,8.7,136,171.48,The Matrix
7,1980,8.7,124,290.48,The Empire Strikes Back
8,1991,8.6,137,204.84,Terminator 2: Judgment Day
9,1977,8.6,121,322.74,Star Wars
11,1954,8.6,207,0.27,Shichinin no samurai
15,2000,8.5,155,187.71,Gladiator
16,1994,8.5,110,19.5,Léon
18,2018,8.4,117,190.24,Spider-Man: Into the Spider-Verse
19,2019,8.4,181,858.37,Avengers: Endgame
20,2018,8.4,149,678.82,Avengers: Infinity War
22,2012,8.4,164,448.14,The Dark Knight Rises
25,2003,8.4,101,0.71,Oldeuboi
26,1997,8.4,134,2.38,Mononoke-hime
27,1986,8.4,137,85.16,Aliens
28,1981,8.4,115,248.16,Raiders of the Lost Ark
30,2016,8.3,161,12.39,Dangal
31,2021,8.3,148,804.75,Spider-Man: No Way Home
32,1995,8.3,170,67.44,Heat
33,1983,8.3,131,309.13,Star Wars: Episode VI - Return of the Jedi
34,1959,8.3,136,13.28,North by Northwest
36,2019,8.2,119,159.23,1917
37,2019,8.2,138,4.19,Uri: The Surgical Strike
40,2017,8.2,167,20.19,Baahubali 2: The Conclusion
42,2012,8.2,135,0.04,Paan Singh Tomar
43,2011,8.2,140,13.66,Warrior
44,2020,8.2,117,47.7,Kimetsu no Yaiba: Mugen Ressha-Hen
45,2005,8.2,132,70.51,V for Vendetta
46,2005,8.2,140,206.85,Batman Begins
47,2003,8.2,111,70.1,Kill Bill: Vol. 1
48,1998,8.2,107,3.9,"Lock, Stock and Two Smoking Barrels"
49,1993,8.2,127,402.45,Jurassic Park
50,1989,8.2,127,197.17,Indiana Jones and the Last Crusade
51,1988,8.2,132,83.01,Die Hard
52,1985,8.2,162,4.14,Ran
54,1926,8.2,67,1.03,The General
55,1924,8.2,45,0.98,Sherlock Jr.
57,2015,8.1,163,8.18,Bajrangi Bhaijaan
58,2017,8.1,137,226.28,Logan
59,2013,8.1,123,26.95,Rush
60,2019,8.1,152,117.62,Ford v Ferrari
61,2015,8.1,120,154.06,Mad Max: Fury Road
63,2010,8.1,98,217.58,How to Train Your Dragon
64,2003,8.1,143,305.41,Pirates of the Caribbean: The Curse of the Black Pearl
67,1999,8.1,86,23.16,The Iron Giant
68,1984,8.1,107,38.4,The Terminator
69,1982,8.1,117,32.87,Blade Runner
76,2014,8.0,160,0.9,Haider
77,2015,8.0,159,6.74,Bãhubali: The Beginning
80,2014,8.0,121,333.18,Guardians of the Galaxy
81,2017,8.0,164,92.05,Blade Runner 2049
82,2015,8.0,156,183.64,The Revenant
83,2010,8.0,115,0.1,Tropa de Elite 2: O Inimigo Agora é Outro
84,2016,8.0,108,363.07,Deadpool
89,2021,8.0,155,108.33,Dune: Part One
90,2007,8.0,115,0.01,Tropa de Elite
91,2012,8.0,143,623.28,The Avengers
92,2007,8.0,115,227.47,The Bourne Ultimatum
93,2004,8.0,140,1.11,Taegukgi hwinalrimyeo
94,2006,8.0,144,167.45,Casino Royale
95,2004,8.0,137,66.21,Kill Bill: Vol. 2
96,2002,8.0,101,0.17,Mou gaan dou
97,2004,8.0,115,261.44,The Incredibles
100,1988,8.0,124,0.55,Akira
105,2017,7.9,130,315.06,Thor: Ragnarok
106,2014,7.9,150,2.63,Serbuan maut 2: Berandal
